PlaceName,PriceMin,PriceMax,WalkMins
The Standard,161,575,10
The Capitol,455,680,30
University Village,599,839,11
Oktiv,825,2580,26
Quantum,1025,1625,7
The Luxe,899,1629,5
Renegade Tallahassee,1109,1829,10
NxNW,935,1745,11
Locale Tallahassee,860,1564,14
GrandMarc,715,1499,11
601 Copeland,320,1859,17
Innovation Overlook,975,1200,30
Stadium Centre,242,1899,21
U Club,267,1124,15
The Sanctuary,667,1350,30
Vertex,515,1089,17
Campus West,499,989,20
The Swan Luxury Studio,890,1045,30
The Social 2700,455,2100,30
Serenity Court,598,1195,30
Onyx Apartments,900,1525,15
The Venetian,645,775,22
Renew Tallahassee,145,899,30
Stonegate Apartments,482,1245,30
The Social Seminole,449,609,20
Campus Row,505,729,7
Brookwood Apartments,698,1495,30
Villa Capri,571,1080,16
Villa Cristina,619,1079,25
Southgate Campus Centre,488,748,10
Villa Reanna,764,1188,22
Sienna Square,558,750,30
The Ridge,573,1295,30
Villa Lucia,727,1166,20
Univeristy Green Condos,575,635,30
Villa Bella Vista,575,668,21
Forum Tallahassee,172,1509,30
Green Briar Garden Hosuing,1050,1250,9.5
University Center Apartments,540,850,10
