PlaceName,Lat,Long
The Standard,30.44616335,-84.2891239
The Capitol,30.44536074,-84.32787128
University Village,30.44840559,-84.31232241
Oktiv,30.44391922,-84.31778108
Quantum,30.44659996,-84.30821909
The Luxe,30.44756426,-84.30807515
Renegade Tallahassee,30.44691689,-84.30986542
NxNW,30.4522154,-84.30686156
Locale Tallahassee,30.44089101,-84.31161525
GrandMarc,30.44936831,-84.30316455
601 Copeland,30.43727498,-84.29063312
Innovation Overlook,30.42369681,-84.30714417
Stadium Centre,30.43527893,-84.29425896
U Club,30.44999537,-84.29986788
The Sanctuary,30.44120667,-84.3237236
Vertex,30.43552586,-84.31229938
Campus West,30.44689641,-84.31563217
The Swan Luxury Studio,30.48028643,-84.29974117
The Social 2700,30.44232867,-84.33089937
Serenity Court,30.43271038,-84.31993706
Onyx Apartments,30.44175464,-84.2882475
The Venetian,30.43935782,-84.31707447
Renew Tallahassee,30.46120444,-84.30990513
Stonegate Apartments,30.47547477,-84.30869635
The Social Seminole,30.45274232,-84.3167689
Campus Row,30.44754757,-84.29528713
Brookwood Apartments,30.44049707,-84.24227835
Villa Capri,30.43958151,-84.31175848
Villa Cristina,30.43940702,-84.31801696
Southgate Campus Centre,30.43921355,-84.29387366
Villa Reanna,30.44090622,-84.31556807
Sienna Square,30.46828113,-84.22732209
The Ridge,30.47896625,-84.31358495
Villa Lucia,30.43784173,-84.31281395
Univeristy Green Condos,30.4589492,-84.34911161
Villa Bella Vista,30.43819231,-84.31321766
Forum Tallahassee,30.44954324,-84.33187
Green Briar Garden Hosuing,30.43491228,-84.3203529
University Center Apartments,30.43404908,-84.30585463
FSU,30.44218548,-84.2978859
